fdc_id,description,data_type,Energy,"Carbohydrate, by difference",Total lipid (fat),Protein,"Fiber, total dietary"
173253,"archway home style cookies, raspberry filled",SR Legacy,400.0,65.9,13.3,4.35,2.2
175077,"archway home style cookies, reduced fat ginger snaps",SR Legacy,424.0,76.2,11.1,4.67,1.1
175076,"archway home style cookies, strawberry filled",SR Legacy,1680.0,65.9,13.3,4.35,2.2
175070,"archway home style cookies, sugar free oatmeal",SR Legacy,442.0,67.2,20.9,5.54,1.9
168493,"arrowhead, cooked, boiled, drained, with salt",SR Legacy,78.0,16.1,0.1,4.49,
169204,"arrowhead, cooked, boiled, drained, without salt",SR Legacy,78.0,16.1,0.1,4.49,
169203,"arrowhead, raw",SR Legacy,99.0,20.2,0.29,5.33,
170684,arrowroot flour,SR Legacy,357.0,88.2,0.1,0.3,3.4
168490,"arrowroot, raw",SR Legacy,271.0,13.4,0.2,4.24,1.3
169311,"artichokes, (globe or french), cooked, boiled, drained, with salt",SR Legacy,51.0,11.4,0.34,2.89,5.7
168386,"artichokes, (globe or french), cooked, boiled, drained, without salt",SR Legacy,53.0,12.0,0.34,2.89,5.7
169312,"artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",SR Legacy,188.0,9.18,0.5,3.11,4.6
168388,"artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",SR Legacy,188.0,9.18,0.5,3.11,4.6
168387,"artichokes, (globe or french), frozen, unprepared",SR Legacy,38.0,7.75,0.43,2.63,3.9
169205,"artichokes, (globe or french), raw",SR Legacy,197.0,10.5,0.15,3.27,5.4
175078,"artificial blueberry muffin mix, dry",SR Legacy,407.0,77.4,8.7,4.7,
169387,"arugula, raw",SR Legacy,105.0,3.65,0.66,2.58,1.6
168978,ascidians (tunughnak) (alaska native),SR Legacy,20.0,0.0,0.5,3.8,
169207,"asparagus, canned, drained solids",SR Legacy,81.0,2.46,0.65,2.14,1.6
169314,"asparagus, canned, no salt added, solids and liquids",SR Legacy,62.0,2.48,0.18,1.8,1.0
169206,"asparagus, canned, regular pack, solids and liquids",SR Legacy,62.0,2.48,0.18,1.8,1.0
168390,"asparagus, cooked, boiled, drained",SR Legacy,94.0,4.11,0.22,2.4,2.0
169313,"asparagus, cooked, boiled, drained, with salt",SR Legacy,22.0,4.11,0.22,2.4,2.0
168494,"asparagus, frozen, cooked, boiled, drained, with salt",SR Legacy,74.0,1.92,0.42,2.95,1.6
169209,"asparagus, frozen, cooked, boiled, drained, without salt",SR Legacy,18.0,1.92,0.42,2.95,1.6
169208,"asparagus, frozen, unprepared",SR Legacy,24.0,4.1,0.23,3.23,1.9
168389,"asparagus, raw",SR Legacy,85.0,3.88,0.12,2.2,2.1
171705,"avocados, raw, all commercial varieties",SR Legacy,160.0,8.53,14.7,2.0,6.7
171706,"avocados, raw, california",SR Legacy,697.0,8.64,15.4,1.96,6.8
171707,"avocados, raw, florida",SR Legacy,120.0,7.82,10.1,2.23,5.6
167690,"babyfood, apple yogurt dessert, strained",SR Legacy,93.0,19.5,1.6,0.8,0.5
171351,"babyfood, apple-banana juice",SR Legacy,213.0,12.3,0.1,0.2,0.2
173517,"babyfood, apples with ham, strained",SR Legacy,62.0,10.9,0.9,2.6,1.8
173511,"babyfood, apples, dices, toddler",SR Legacy,50.0,11.6,0.36,0.19,1.9
171001,"babyfood, baby mum mum rice biscuits",SR Legacy,391.0,83.2,0.87,12.5,0.0
169047,"babyfood, baked product, finger snacks cereal fortified",SR Legacy,1760.0,76.7,9.9,6.4,2.3
167733,"babyfood, banana apple dessert, strained",SR Legacy,285.0,16.3,0.2,0.3,1.0
168090,"babyfood, banana juice with low fat yogurt",SR Legacy,86.0,17.5,0.8,2.5,0.4
167732,"babyfood, banana no tapioca, strained",SR Legacy,381.0,21.3,0.2,1.0,1.6
170999,"babyfood, banana with mixed berries, strained",SR Legacy,92.0,21.3,0.36,1.01,1.0
173519,"babyfood, beverage, gerber, graduates, fruit splashers",SR Legacy,123.0,7.35,0.0,0.0,0.0
173518,"babyfood, carrots and beef, strained",SR Legacy,59.0,5.7,2.5,3.4,2.6
169871,"babyfood, carrots, toddler",SR Legacy,21.0,5.23,0.3,0.6,2.3
171358,"babyfood, cereal, barley, dry fortified",SR Legacy,1570.0,69.4,6.6,13.2,6.6
172296,"babyfood, cereal, barley, prepared with whole milk",SR Legacy,352.0,9.94,3.26,3.73,0.6
169048,"babyfood, cereal, brown rice, dry, instant",SR Legacy,1700.0,86.0,3.0,8.7,6.5
171366,"babyfood, cereal, egg yolks and bacon, junior",SR Legacy,79.0,6.2,5.0,2.5,0.9
173528,"babyfood, cereal, high protein, prepared with whole milk",SR Legacy,111.0,11.6,3.8,8.7,
170973,"babyfood, cereal, high protein, with apple and orange, dry",SR Legacy,374.0,57.6,6.5,25.4,7.1
173533,"babyfood, cereal, high protein, with apple and orange, prepared with whole milk",SR Legacy,112.0,13.4,3.9,6.9,
170964,"babyfood, cereal, mixed, dry fortified",SR Legacy,1670.0,78.2,6.66,6.66,6.7
173529,"babyfood, cereal, mixed, prepared with whole milk",SR Legacy,96.0,12.3,3.38,4.14,0.8
170967,"babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",SR Legacy,350.0,18.8,0.51,0.71,1.0
170966,"babyfood, cereal, mixed, with applesauce and bananas, strained",SR Legacy,82.0,18.4,0.51,0.71,1.0
170965,"babyfood, cereal, mixed, with bananas, dry",SR Legacy,391.0,77.1,4.6,10.7,7.8
173530,"babyfood, cereal, mixed, with bananas, prepared with whole milk",SR Legacy,86.0,10.0,3.46,3.82,0.4
173532,"babyfood, cereal, mixed, with honey, prepared with whole milk",SR Legacy,115.0,15.9,3.6,5.0,
171360,"babyfood, cereal, oatmeal, dry fortified",SR Legacy,394.0,73.5,6.36,11.0,7.3
173509,"babyfood, cereal, oatmeal, dry, gerber, single grain, fortified",SR Legacy,1660.0,73.6,6.42,10.9,7.0
173531,"babyfood, cereal, oatmeal, prepared with whole milk",SR Legacy,116.0,15.3,4.1,5.0,1.1
171363,"babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",SR Legacy,319.0,16.0,0.89,0.89,0.9
171362,"babyfood, cereal, oatmeal, with applesauce and bananas, strained",SR Legacy,75.0,15.6,0.89,0.89,0.9
171361,"babyfood, cereal, oatmeal, with bananas, dry",SR Legacy,1670.0,78.1,6.67,6.67,5.2
172297,"babyfood, cereal, oatmeal, with bananas, prepared with whole milk",SR Legacy,362.0,10.0,3.46,3.82,0.4
170968,"babyfood, cereal, oatmeal, with honey, dry",SR Legacy,391.0,69.3,7.0,13.5,
172298,"babyfood, cereal, oatmeal, with honey, prepared with whole milk",SR Legacy,115.0,15.3,3.9,5.0,
167731,"babyfood, cereal, rice with pears and apple, dry, instant fortified",SR Legacy,389.0,88.5,0.9,6.6,2.6
170969,"babyfood, cereal, rice, dry fortified",SR Legacy,1630.0,83.1,2.19,6.65,1.3
172299,"babyfood, cereal, rice, prepared with whole milk",SR Legacy,85.0,10.3,3.38,3.45,0.0
170970,"babyfood, cereal, rice, with applesauce and bananas, strained",SR Legacy,334.0,17.1,0.4,1.2,1.0
170974,"babyfood, cereal, rice, with bananas, dry",SR Legacy,404.0,79.9,4.2,8.7,1.0
173534,"babyfood, cereal, rice, with bananas, prepared with whole milk",SR Legacy,360.0,10.5,3.32,3.57,0.1
172300,"babyfood, cereal, rice, with honey, prepared with whole milk",SR Legacy,115.0,17.1,3.3,3.9,
171359,"babyfood, cereal, whole wheat, with apples, dry fortified",SR Legacy,1680.0,83.2,4.8,6.6,6.7
171364,"babyfood, cereal, with egg yolks, junior",SR Legacy,52.0,7.1,1.8,1.9,0.9
170971,"babyfood, cereal, with egg yolks, strained",SR Legacy,51.0,7.0,1.8,1.9,0.9
171365,"babyfood, cereal, with eggs, strained",SR Legacy,58.0,8.0,1.5,2.2,
170978,"babyfood, cherry cobbler, junior",SR Legacy,326.0,19.2,0.1,0.3,0.2
171368,"babyfood, cookie, baby, fruit",SR Legacy,435.0,73.7,12.6,6.8,3.4
170975,"babyfood, cookies",SR Legacy,433.0,67.1,13.2,11.8,0.2
171369,"babyfood, cookies, arrowroot",SR Legacy,424.0,75.4,10.0,7.6,0.2
172317,"babyfood, corn and sweet potatoes, strained",SR Legacy,287.0,15.2,0.28,1.26,1.8
170972,"babyfood, crackers, vegetable",SR Legacy,2000.0,66.8,19.6,8.4,4.0
169872,"babyfood, dessert, banana pudding, strained",SR Legacy,284.0,14.1,0.8,1.0,0.8
168135,"babyfood, dessert, banana yogurt, strained",SR Legacy,78.0,17.4,0.52,1.1,0.5
168134,"babyfood, dessert, blueberry yogurt, strained",SR Legacy,77.0,17.0,0.7,0.5,0.4
171373,"babyfood, dessert, cherry vanilla pudding, junior",SR Legacy,69.0,18.4,0.2,0.2,0.3
170979,"babyfood, dessert, cherry vanilla pudding, strained",SR Legacy,68.0,17.8,0.3,0.2,0.3
171380,"babyfood, dessert, custard pudding, vanilla, junior",SR Legacy,86.0,17.6,0.98,1.76,0.2
171379,"babyfood, dessert, custard pudding, vanilla, strained",SR Legacy,85.0,16.0,2.0,1.6,0.0
170977,"babyfood, dessert, dutch apple, junior",SR Legacy,330.0,19.2,0.16,0.2,1.4
170976,"babyfood, dessert, dutch apple, strained",SR Legacy,75.0,19.7,0.4,0.2,1.4
171377,"babyfood, dessert, fruit dessert, without ascorbic acid, junior",SR Legacy,63.0,17.2,0.0,0.3,0.6
170983,"babyfood, dessert, fruit dessert, without ascorbic acid, strained",SR Legacy,59.0,16.0,0.0,0.3,0.6
171374,"babyfood, dessert, fruit pudding, orange, strained",SR Legacy,80.0,17.7,0.9,1.1,0.6
170982,"babyfood, dessert, fruit pudding, pineapple, strained",SR Legacy,81.0,20.3,0.3,1.3,0.7
171376,"babyfood, dessert, peach cobbler, junior",SR Legacy,67.0,18.3,0.0,0.3,0.7
171375,"babyfood, dessert, peach cobbler, strained",SR Legacy,65.0,17.8,0.0,0.3,0.7
170981,"babyfood, dessert, peach melba, junior",SR Legacy,60.0,16.4,0.0,0.3,
170980,"babyfood, dessert, peach melba, strained",SR Legacy,60.0,16.5,0.0,0.2,
168133,"babyfood, dessert, peach yogurt",SR Legacy,77.0,17.6,0.18,0.9,0.4
171378,"babyfood, dessert, tropical fruit, junior",SR Legacy,60.0,16.4,0.0,0.2,
172287,"babyfood, dinner, apples and chicken, strained",SR Legacy,65.0,10.9,1.38,2.16,1.8
172260,"babyfood, dinner, beef and rice, toddler",SR Legacy,82.0,8.8,2.9,5.0,
173489,"babyfood, dinner, beef lasagna, toddler",SR Legacy,77.0,10.0,2.1,4.2,
173516,"babyfood, dinner, beef noodle, junior",SR Legacy,57.0,7.3,1.9,2.5,1.1
172258,"babyfood, dinner, beef noodle, strained",SR Legacy,63.0,8.18,2.26,2.44,1.3
172261,"babyfood, dinner, beef with vegetables",SR Legacy,96.0,6.36,6.93,2.03,1.8
172288,"babyfood, dinner, broccoli and chicken, junior",SR Legacy,259.0,6.34,2.48,3.59,1.4
169054,"babyfood, dinner, chicken and rice",SR Legacy,51.0,9.2,0.9,1.6,1.1
172264,"babyfood, dinner, chicken noodle, junior",SR Legacy,311.0,7.8,3.23,3.53,1.7
172263,"babyfood, dinner, chicken noodle, strained",SR Legacy,74.0,7.81,3.22,3.53,1.7
173496,"babyfood, dinner, chicken soup, strained",SR Legacy,50.0,7.2,1.7,1.6,1.1
173497,"babyfood, dinner, chicken stew, toddler",SR Legacy,78.0,6.4,3.7,5.2,0.6
172270,"babyfood, dinner, macaroni and cheese, junior",SR Legacy,61.0,8.2,2.0,2.6,0.3
173503,"babyfood, dinner, macaroni and cheese, strained",SR Legacy,67.0,8.95,2.11,3.14,0.7
